programme,source_folder,total_major_units,requirement_structure,core_competencies,supporting_or_optional_competencies,evidence_summary,overall_interpretation,limitations
X & Aerospace Science and Earth Informatics Double Major Programme[a],X及航天科学与地球信息学双主修课程,90,"required courses, major electives, streams/specializations",Research and methodological ability; Domain-specific professional knowledge,Practical application and industry readiness,"Research and methodological ability: 9. For Physics as 1st Major, all Major Required (excluding PHY1910 ), Research Component and || Domain-specific professional knowledge: 9. For Physics as 1st Major, all Major Required (excluding PHY1910 ), Research Component and; 9. 以物理學為第一主修，其所有列於第一主修課程要求的必修科目(除 PHY1910 之外)、 || Practical application and industry readiness: Field Trips: ASEI1090, COOP1001, 2001, EESC1009, 2009, 2119, 2129,","This programme appears to train students primarily in Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
X & Interdisciplinary Data Analytics Double Major Programme[a],X及跨学科数据分析双主修课程,90,"required courses, major electives, streams/specializations",,Practical application and industry readiness,"Practical application and industry readiness: ii) Field Trips: COOP1001, 2001",This programme appears to provide a profile centered on Practical application and industry readiness.,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
临床医学,临床医学,222,programme requirements and course list,"Communication, writing, and presentation; Domain-specific professional knowledge; Practical application and industry readiness",Foundational disciplinary knowledge; Research and methodological ability,"Foundational disciplinary knowledge: GFH1000 GE Foundation: In Dialogue with; GFN1000 GE Foundation: In Dialogue with || Research and methodological ability: MED4500 - Selected Study Modules II (Medical Research) 24 || Communication, writing, and presentation: MED3200 - Communication Skills I 1; MED4200 - Communication Skills II 1; MED4210 - Communication Skills III 1; MED4220 - Communication Skills IV 1 || Domain-specific professional knowledge: MED1021 - Biochemistry and Organic Chemistry I 2; MED1022 - Biochemistry and Organic Chemistry II 2; MED1031 - Medicine and Modern Technology I 2; MED1032 - Medicine and Modern Technology II 2; MED2040 - Microbiology 2 || Practical application and industry readiness: MED1100 - Bioethics and Professionalism I 1; MED2100 - Bioethics and Professionalism II 1; MED3020 - Junior Medical Practice 12; MED3021 - Junior Surgical Practice 12; MED3100 - Bioethics and Professionalism III 1","This programme appears to train students primarily in Communication, writing, and presentation, Domain-specific professional knowledge, Practical application and industry readiness.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Artificial Intelligence,人工智能,72,"required courses, major electives, streams/specializations","Foundational disciplinary knowledge; Mathematical or quantitative reasoning; Programming and computing ability; Data, digital, and AI literacy; Research and methodological ability; Domain-specific professional knowledge; Practical application and industry readiness","Statistical reasoning and empirical analysis; Communication, writing, and presentation","Foundational disciplinary knowledge: AIE1001 Introduction to AI Programming 人工智能編程導論 3; AIE2040 Statistical Foundations for AI 人工智能統計基礎 3; MGT2020 Principles of Management 管理學原理 3; AIE2001 Introduction to Cognitive Science 認知科學導論 3; ECE3300 Introduction to AI Infrastructure 人工智能基礎架構導論 3 || Mathematical or quantitative reasoning: MAT1001 Calculus I 微積分（一） 3; MAT1011 Honours Calculus I 微積分榮譽課程（一） 3; MAT1002 Calculus II 微積分（二） 3; MAT1012 Honours Calculus II 微積分榮譽課程（二） 3; MAT2040 Linear Algebra 線性代數 3 || Statistical reasoning and empirical analysis: AIE2040 Statistical Foundations for AI 人工智能統計基礎 3 || Programming and computing ability: AIE1001 Introduction to AI Programming 人工智能編程導論 3; AIE1003 Ethics in AI, Data and Algorithms 人工智能、數據與演算法倫理 2; CSC3200 Data Structures and Advanced; AIE3002 AI and Quantum Computing 人工智能與量子計算 3 || Data, digital, and AI literacy: AIE1001 Introduction to AI Programming 人工智能編程導論 3; AIE1901 AI Exploration I 人工智能探索（一） 2; AIE1902 AI Exploration II 人工智能探索（二） 2; AIE2040 Statistical Foundations for AI 人工智能統計基礎 3; AIE1003 Ethics in AI, Data and Algorithms 人工智能、數據與演算法倫理 2 || Research and methodological ability: AIE4901 AI Capstone Project I 人工智能畢業設計（一） 2; AIE4902 AI Capstone Project II 人工智能畢業設計（二） 2 || Communication, writing, and presentation: AIE3005 Signal Analysis and Representation 信息分析與表徵 3 || Domain-specific professional knowledge: CHM1001 General Chemistry 普通化學 3; MGT2020 Principles of Management 管理學原理 3; AIE1004 AI Regulation and Governance 人工智能規管與治理 2; CHM2310 Organic Chemistry I 有機化學 (一) 3; MSE2001 Chemical Foundation for Materials 材料的化學基礎 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Mathematical or quantitative reasoning, Programming and computing ability, Data, digital, and AI literacy.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations","Foundational disciplinary knowledge; Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Data, digital, and AI literacy; Research and methodological ability; Domain-specific professional knowledge","Programming and computing ability; Language, textual, and cross-cultural competence","Foundational disciplinary knowledge: MGT2020 Principles of Management 管理原理 3; ACT3131 Accounting Theory 會計理論 3; FIN2020 Foundation of Finance 金融學基礎 3 || Mathematical or quantitative reasoning: STA2001 Probability and Statistics I 概率及統計（一） 3; BMA2020 Mathematical Modeling and; ECO3211 Quantitative Methods for Policy || Statistical reasoning and empirical analysis: ECO2121 Introductory Statistics 統計學導論 3; STA2001 Probability and Statistics I 概率及統計（一） 3; ECO3121 Introductory Econometrics 計量經濟學導論 3; BMA3002 Statistical Learning for Business 商業統計學習 3 || Programming and computing ability: BMA2010 Programming for Business 商業編程 3 || Data, digital, and AI literacy: ACT4221 Data Analytics for Management; ACT4244 Artificial Intelligence for Accounting; ACT4311 Data Mining for Accounting; ACT4321 Accounting Database and Data; BMA3001 Data Analytics for Business 商業數據分析 3 || Research and methodological ability: ACT4141 Intro to Accounting Research 會計研究導論 3; ACT4312 Directed Research in Accounting I 會計學定向研究 I 3; ACT4313 Directed Research in Accounting II 會計學定向研究 II 2; ECO3211 Quantitative Methods for Policy || Language, textual, and cross-cultural competence: ACT3321 Textual Analysis for Accounting and || Domain-specific professional knowledge: ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3; FIN2010 Financial Management 財務管理 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Mathematical or quantitative reasoning, Statistical reasoning and empirical analysis, Data, digital, and AI literacy.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Composition and Theory,作曲与作曲技术理论,70,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge; Research and methodological ability; Practical application and industry readiness,"Statistical reasoning and empirical analysis; Language, textual, and cross-cultural competence; Domain-specific professional knowledge","Foundational disciplinary knowledge: MUS1150 Introduction to Music Literature I 音樂文獻概論 I 2; MUS1151 Introduction to Music Literature II 音樂文獻概論 II 2; MUS2700* Introduction to Music Therapy 音樂治療導論 2 || Statistical reasoning and empirical analysis: MUS4112 A Survey of Contemporary Music 當代音樂概論 3 || Research and methodological ability: MUS3901 Special Project I 特別專案 I 3; MUS3902 Special Project II 特別專案 II 3; MUS4901 Special Project III 特別專案 III 3; MUS4902 Special Project IV 特別專案 IV 3; MUS4903 Special Project V 特別專案 Ⅴ 3 || Language, textual, and cross-cultural competence: MUS3113 Music in World Culture 世界文化中的音樂 3; MUS4113* Music in Popular Culture 流行文化中的音樂 3 || Domain-specific professional knowledge: MUS1110 Materials and Structure of Music I 音樂材料與結構 I 2; MUS3700* Music Management and Promotion 音樂管理與推廣 2 || Practical application and industry readiness: MUS1001 Applied Music I 專業主修 I 2; MUS1002 Applied Music II 專業主修 II 2; MUS1007 Aural Practice and Perception I 聽音練習和感知 I 2; MUS3111 Advanced Harmonic Practice 高級和聲學 3; MUS1008 Aural Practice and Perception II 聽音練習和感知 II 2","This programme appears to train students primarily in Foundational disciplinary knowledge, Research and methodological ability, Practical application and industry readiness.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Chemistry,化学,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge; Research and methodological ability; Domain-specific professional knowledge,"Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Data, digital, and AI literacy","Foundational disciplinary knowledge: Option C# CSC1001 Introduction to Computer Science:; CSC1003 Introduction to Computer Science; CHM3520 Introduction to Materials Science; CHM3540 Introduction to Functional Materials 功能材料導論 3; MSE3013 Principles of Chemical Engineering 化工原理 3 || Mathematical or quantitative reasoning: Option F# STA2001 Probability and Statistics Ⅰ 概率及統計（一） 3 || Statistical reasoning and empirical analysis: Option F# STA2001 Probability and Statistics Ⅰ 概率及統計（一） 3 || Data, digital, and AI literacy: CSC1006 Artificial Intelligence for Science; CHM4342 AI for Chemistry 化學中的人工智能 3 || Research and methodological ability: CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory Using; CHM2118 Analytical Chemistry Laboratory 分析化學實驗 2; CHM2228 Inorganic Chemistry Laboratory 無機化學實驗 2; CHM2338 Organic Chemistry Laboratory 有機化學實驗 3 || Domain-specific professional knowledge: Option H# CHM1001 General Chemistry 普通化學 3; Option I# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; BIO2004 Biochemistry 生物化學 3; CHM2002 Physical Chemistry 物理化學 3; CHM2110 Analytical Chemistry 分析化學 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations","Foundational disciplinary knowledge; Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Data, digital, and AI literacy; Domain-specific professional knowledge; Practical application and industry readiness","Research and methodological ability; Communication, writing, and presentation","Foundational disciplinary knowledge: MGT2020 Principles of Management 管理原理 3; BMA3301 Introduction to Business Intelligence; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; MGT4130 Organization Theory and Design 組織理論與設計 3 || Mathematical or quantitative reasoning: STA2001 Probability and Statistics I 概率及統計（一） 3; MAT1005 Mathematics for Business and; DMS3002 Applied Probability and Stochastic; MAT1001 Calculus I 微積分（一） 3; MGT3780 Quantitative strategic analysis 量化戰略分析 3 || Statistical reasoning and empirical analysis: ECO2121 Introductory Statistics 統計學導論 3; STA2001 Probability and Statistics I 概率及統計（一） 3; ECO3121 Introductory Econometrics 計量經濟學導論 3 || Data, digital, and AI literacy: DMS3003 Data Analytics and Decision Making 數據分析和決策制定 3; MGT4080 People Analytics 人員分析學 3; MGT4187 Managerial Analytics 管理分析 3 || Research and methodological ability: MGT4188 Internship / Practicum / Research 實習/研究 3 || Communication, writing, and presentation: MGT4030 Creating Presentation Self -Efficacy || Domain-specific professional knowledge: ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3; FIN2010 Financial Management 財務管理 3 || Practical application and industry readiness: DMS3002 Applied Probability and Stochastic; IDE2097 Entrepreneurship Practicum 創業實習（一） 3; MGT4020 Case Study 案例分析 3; MGT4188 Internship / Practicum / Research 實習/研究 3; MGT4189 Entrepreneurship Practicum 創業實習 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Mathematical or quantitative reasoning, Statistical reasoning and empirical analysis, Data, digital, and AI literacy.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
International Organizations and Global Governance,国际组织与全球治理,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge; Research and methodological ability; Domain-specific professional knowledge,"Communication, writing, and presentation","Foundational disciplinary knowledge: HSS1006 Introduction to Sociology 社會學導論 3; HSS1008 Principles of Economics 經濟學原理 3; HSS1010 Principles of Political Science 政治學原理 3; HSS1011 Introduction to Social Science Research 社會科學研究導論 3; GLB2010 Introduction to Wo rld Politics 世界政治學概論 3 || Research and methodological ability: HSS1011 Introduction to Social Science Research 社會科學研究導論 3; GLB4030 Capstone Course I 全球治理專題研究（一） 3; GLB4040 Capstone Course II 全球治理專題研究（二） 3; GLB4160 Special Topics in Global Studies I 全球研究專題（一） 3; GLB4170 Special Topics in Global Studies II 全球研究專題（二） 3 || Communication, writing, and presentation: HSS1004 Advanced Academic Writing 高級學術寫作 3 || Domain-specific professional knowledge: HSS1008 Principles of Economics 經濟學原理 3; GLB3030 Chinese Foreign Policy 中國外交政策 3; GLB3040 Global Governance and International Law 全球治理與國際法 3; GLB4020 International Public Policy Analysis 國際公共政策分析 3; GLB4030 Capstone Course I 全球治理專題研究（一） 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge; Research and methodological ability; Domain-specific professional knowledge,"Mathematical or quantitative reasoning; Statistical reasoning and empirical analysis; Data, digital, and AI literacy; Communication, writing, and presentation; Language, textual, and cross-cultural competence","Foundational disciplinary knowledge: HSS1006 Introduction to Sociology 社會學導論 3; HSS1008 Principles of Economics 經濟學原理 3; HSS1010 Principles of Political Science 政治學原理 3; HSS1011 Introduction to Social Science; URM2040 Principles and Application of GIS in || Mathematical or quantitative reasoning: URM3210 Quantitative Analysis for Social || Statistical reasoning and empirical analysis: URM2030 Statistical Analysis and Application 統計分析及應用 3 || Data, digital, and AI literacy: URM4020 Urban Data and Informatics 城市數據與分析學 3 || Research and methodological ability: URM3020 Research Methods for Urban Studies 城市學研究方法 3; URM4040 Urban Management Capstone I 城市管理總結科目; URM4050 Urban Management Capstone II 城市管理總結科目 || Communication, writing, and presentation: HSS1004 Advanced Academic Writing 高級學術寫作 3 || Language, textual, and cross-cultural competence: URM3110 Urban History and Culture 城市歷史與文化學 3 || Domain-specific professional knowledge: HSS1008 Principles of Economics 經濟學原理 3; URM2010 Cities, Society and Environment 城市、社會與環境 3; URM2020 Urban Economics 城市經濟學 3; URM3010 Urban Sustainability 城市可持續性 3; URM3020 Research Methods for Urban Studies 城市學研究方法 3","This programme appears to train students primarily in Foundational disciplinary knowledge, Research and methodological ability, Domain-specific professional knowledge.",Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
